City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
309,hammerfest,70.6634,23.6821,8.25,76,100,6.17,NO,1731456536
310,djambala,-2.5447,14.7533,20.14,89,33,0.3,CG,1731456537
311,rafraf,37.1904,10.1837,16.88,74,30,6.61,TN,1731456538
312,cooma,-36.2333,149.1333,18.47,61,63,1.54,AU,1731456539
313,borazjan,29.2666,51.2159,24.49,42,83,0.27,IR,1731456541
314,islamkot,24.6997,70.177,23.16,54,0,3.64,PK,1731456542
315,ribeira brava,32.65,-17.0667,20.0,63,15,2.13,PT,1731456543
316,sao tome,0.3365,6.7273,26.25,85,26,2.68,ST,1731456544
317,east london,-33.0153,27.9116,18.48,74,4,8.73,ZA,1731456399
318,port hueneme,34.1478,-119.1951,21.32,40,0,5.14,US,1731456546
319,guatrache,-37.6678,-63.5302,17.37,35,59,1.98,AR,1731456548
320,dorogobuzh,54.915,33.2972,-0.68,96,63,2.17,RU,1731456549
321,bengkulu,-3.8004,102.2655,24.27,92,100,2.46,ID,1731456550
322,dhuusamarreeb,5.535,46.3861,25.48,67,66,3.92,SO,1731456551
323,altai,46.3722,96.2583,-3.98,68,73,9.48,MN,1731456552
324,hawassa,7.05,38.4667,14.57,73,62,1.53,ET,1731456553
325,douentza,14.9951,-2.9517,25.42,18,90,1.42,ML,1731456556
326,la mira,18.035,-102.3266,26.44,79,68,2.61,MX,1731456560
327,sao pedro do sul,-29.6206,-54.1789,13.54,69,42,1.44,BR,1731456561
328,thunder bay,48.4001,-89.3168,1.95,69,0,1.03,CA,1731456562
329,mhamid,29.82,-5.72,19.66,34,30,3.68,MA,1731456563
330,pickering,43.9001,-79.1329,2.58,73,0,2.88,CA,1731456564
331,namibe,-15.1961,12.1522,22.86,66,60,3.87,AO,1731456565
332,vernon,50.2581,-119.2691,6.3,68,54,1.73,CA,1731456567
333,arkhangel'sk,64.5401,40.5433,0.06,93,100,3.0,RU,1731456568
334,lebu,-37.6167,-73.65,12.56,81,34,9.15,CL,1731456569
335,robertsport,6.7533,-11.3686,26.41,84,54,4.65,LR,1731456570
336,saint-philippe,-21.3585,55.7679,22.8,81,30,4.13,RE,1731456571
337,vorgashor,67.5833,63.95,-25.72,100,100,1.77,RU,1731456572
338,abasolo,20.45,-101.5167,22.28,27,29,1.5,MX,1731456574
339,tayu,-6.5397,111.0518,28.22,76,100,3.0,ID,1731456575
340,siloam springs,36.1881,-94.5405,17.3,77,100,4.26,US,1731456576
341,daru,-9.0763,143.2092,28.48,78,100,5.62,PG,1731456577
342,onguday,50.75,86.15,-13.24,76,17,1.17,RU,1731456578
343,bhuj,23.2667,69.6667,24.09,60,0,2.87,IN,1731456581
344,richards bay,-28.783,32.0377,19.43,97,85,3.23,ZA,1731456582
345,guixi,28.2886,117.2133,18.42,81,2,4.17,CN,1731456583
346,port lincoln,-34.7333,135.8667,18.5,63,11,6.29,AU,1731456584
347,puerto baquerizo moreno,-0.9,-89.6,21.09,72,95,4.28,EC,1731456586
348,kidal,18.4411,1.4078,22.55,17,69,4.14,ML,1731456587
349,carnarvon,-24.8667,113.6333,24.2,60,79,5.93,AU,1731456588
350,dindori,22.95,81.0833,15.72,65,25,1.4,IN,1731456589
351,dangriga,16.9692,-88.2321,26.49,79,88,1.14,BZ,1731456590
352,n'zeto,-7.2312,12.8666,25.64,90,88,5.48,AO,1731456591
353,flin flon,54.7682,-101.865,3.5,81,87,2.94,CA,1731456593
354,diamantina,-18.2494,-43.6003,21.51,65,100,1.05,BR,1731456595
355,leshan,29.5623,103.7639,16.73,90,100,0.93,CN,1731456596
356,santanyi,39.3546,3.1291,13.69,88,100,8.87,ES,1731456597
357,zhangatas,43.5667,69.75,4.25,89,100,4.61,KZ,1731456599
358,kamba,11.8486,3.6576,25.44,31,16,2.92,NG,1731456600
359,kupino,54.3663,77.2981,-11.79,95,99,4.66,RU,1731456601
360,dongola,19.1667,30.4833,21.28,22,0,5.71,SD,1731456602
